"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 07, 2019","418.6989","417.2951","421.1086","416.5265","-","0.42%"
"Nov 08, 2019","419.1143","419.0934","420.0066","412.3256","-","0.10%"
"Nov 11, 2019","416.5204","419.5254","419.5254","414.8237","-","-0.62%"
"Nov 12, 2019","417.3163","416.9748","419.4585","415.9087","-","0.19%"
"Nov 13, 2019","418.0281","417.8208","419.4360","414.4942","-","0.17%"
"Nov 14, 2019","417.1541","418.0281","421.3572","416.7325","-","-0.21%"
"Nov 15, 2019","420.4984","417.1541","421.7867","414.8684","-","0.80%"
"Nov 18, 2019","415.6492","420.4984","421.4830","414.1070","-","-1.15%"
"Nov 19, 2019","409.6726","415.6492","416.0718","409.0822","-","-1.44%"
"Nov 20, 2019","415.3778","409.6726","417.0156","407.5046","-","1.39%"
"Nov 21, 2019","420.8240","415.3778","421.0726","413.1864","-","1.31%"
"Nov 22, 2019","418.9339","420.8240","422.4886","417.8180","-","-0.45%"
"Nov 25, 2019","420.0215","418.9339","420.4995","416.5088","-","0.26%"
"Nov 26, 2019","422.0621","420.0215","422.2103","418.9230","-","0.49%"
"Nov 27, 2019","420.3397","422.0621","423.6549","418.5838","-","-0.41%"
"Nov 29, 2019","409.1913","420.3397","420.4703","408.6770","-","-2.65%"
"Dec 02, 2019","410.7921","409.1913","415.2861","409.1913","-","0.39%"
"Dec 03, 2019","410.7499","410.7921","413.2656","408.6323","-","-0.01%"
"Dec 04, 2019","418.7466","410.7499","419.8272","410.7499","-","1.95%"
"Dec 05, 2019","419.6583","418.7466","422.2898","417.8483","-","0.22%"
"Dec 06, 2019","422.7379","419.4541","425.3799","417.3066","-","0.73%"
"Dec 09, 2019","421.6442","422.5182","422.6127","418.9367","-","-0.26%"
"Dec 10, 2019","423.2039","421.4540","424.0585","419.6828","-","0.37%"
"Dec 11, 2019","420.2794","423.0333","423.0333","417.9297","-","-0.69%"
"Dec 12, 2019","423.6431","420.1119","425.6419","420.1119","-","0.80%"
"Dec 13, 2019","428.0519","423.6431","431.2736","423.6431","-","1.04%"
"Dec 16, 2019","431.0924","428.0519","431.9546","427.1585","-","0.71%"
"Dec 17, 2019","433.8017","431.0924","434.3051","430.2972","-","0.63%"
"Dec 18, 2019","433.1094","433.8017","434.3422","431.0930","-","-0.16%"
"Dec 19, 2019","434.9615","433.1094","435.7867","432.7427","-","0.43%"
"Dec 20, 2019","433.2951","434.9615","435.8199","431.8861","-","-0.38%"
"Dec 23, 2019","433.0371","433.2951","434.0050","431.5229","-","-0.06%"
"Dec 24, 2019","435.9875","433.0371","436.5087","432.9987","-","0.68%"
"Dec 26, 2019","439.6989","435.9875","439.9829","435.9542","-","0.85%"
"Dec 27, 2019","440.2722","439.6989","441.1627","438.6491","-","0.13%"
"Dec 30, 2019","439.5781","440.2722","443.3378","437.0913","-","-0.16%"
"Dec 31, 2019","436.2189","439.5781","440.2046","435.2714","-","-0.76%"
"Jan 01, 2020","436.7599","436.7599","436.7599","436.7599","-","0.12%"
"Jan 02, 2020","436.8196","436.2189","438.3478","434.9075","-","0.01%"
"Jan 03, 2020","443.3469","436.8196","448.1869","436.8196","-","1.49%"
"Jan 06, 2020","444.6284","443.3469","451.0613","443.1530","-","0.29%"
"Jan 07, 2020","442.3508","444.6284","444.6284","439.8018","-","-0.51%"
"Jan 08, 2020","431.0395","442.3518","453.1630","429.1437","-","-2.56%"
"Jan 09, 2020","430.6038","431.0892","433.2736","427.6442","-","-0.10%"
"Jan 10, 2020","430.1198","430.6513","432.0334","428.9958","-","-0.11%"
"Jan 13, 2020","426.2712","430.1638","430.7812","425.2880","-","-0.89%"
"Jan 14, 2020","427.7165","426.3838","429.5219","424.7376","-","0.34%"
"Jan 15, 2020","425.4507","427.7164","428.4317","423.9953","-","-0.53%"
"Jan 16, 2020","425.8423","425.4506","427.7454","424.2799","-","0.09%"
"Jan 17, 2020","426.9116","425.8423","427.6644","425.1396","-","0.25%"
"Jan 21, 2020","425.1428","426.9116","428.3148","423.0832","-","-0.41%"
"Jan 22, 2020","418.5299","425.1428","425.2515","417.7012","-","-1.56%"
"Jan 23, 2020","413.6461","418.5298","418.5298","410.7059","-","-1.17%"
"Jan 24, 2020","406.2654","413.6461","415.1119","405.0823","-","-1.78%"
"Jan 27, 2020","398.3374","406.2654","406.2654","395.7814","-","-1.95%"
"Jan 28, 2020","400.3906","398.3374","402.3122","395.5788","-","0.52%"
"Jan 29, 2020","398.7491","400.3905","403.9805","397.5023","-","-0.41%"
"Jan 30, 2020","392.0189","398.7491","398.7491","390.0178","-","-1.69%"
"Jan 31, 2020","388.8018","392.0189","396.9600","386.8643","-","-0.82%"
"Feb 03, 2020","381.3492","388.8018","389.3627","380.1271","-","-1.92%"
"Feb 04, 2020","380.3290","381.3492","388.0025","380.0457","-","-0.27%"
"Feb 05, 2020","386.2770","380.3290","390.2409","380.3290","-","1.56%"
"Feb 06, 2020","387.1924","386.2770","392.1314","383.7039","-","0.24%"
"Feb 07, 2020","386.1970","387.8599","389.7123","384.6765","-","-0.26%"
"Feb 10, 2020","382.1816","386.8413","387.1999","381.7906","-","-1.04%"
"Feb 11, 2020","384.5627","382.7845","387.6277","382.7845","-","0.62%"
"Feb 12, 2020","392.0420","385.1657","393.3360","385.1657","-","1.94%"
"Feb 13, 2020","394.0110","392.5634","395.7001","389.7895","-","0.50%"
"Feb 14, 2020","396.2265","394.0110","397.6687","393.0410","-","0.56%"
"Feb 18, 2020","398.3362","396.2265","398.5458","392.8854","-","0.53%"
"Feb 19, 2020","403.6388","398.3361","404.2382","397.5534","-","1.33%"
"Feb 20, 2020","403.2244","403.6388","406.6089","402.8899","-","-0.10%"
"Feb 21, 2020","400.5355","403.2244","403.2244","397.6806","-","-0.67%"
"Feb 24, 2020","389.2645","400.5355","400.5355","385.5520","-","-2.81%"
"Feb 25, 2020","382.8182","389.2645","391.8356","382.0914","-","-1.66%"
"Feb 26, 2020","376.2020","382.8181","384.1444","374.6171","-","-1.73%"
"Feb 27, 2020","367.8992","376.2020","376.2020","362.3767","-","-2.21%"
"Feb 28, 2020","358.4439","367.8992","367.8992","354.0859","-","-2.57%"
"Mar 02, 2020","368.8241","358.4439","370.4584","357.6613","-","2.90%"
"Mar 03, 2020","371.0572","368.8241","378.2757","368.5109","-","0.61%"
"Mar 04, 2020","370.1096","371.0572","375.9867","369.3596","-","-0.26%"
"Mar 05, 2020","365.2748","370.1096","373.4796","364.5585","-","-1.31%"
"Mar 06, 2020","345.1365","365.5861","366.5949","344.5098","-","-5.51%"
"Mar 09, 2020","305.2853","345.5277","345.7020","290.8938","-","-11.55%"
"Mar 10, 2020","318.9132","305.8789","321.5585","305.8789","-","4.46%"
"Mar 11, 2020","313.2937","319.5417","327.7678","311.8092","-","-1.76%"
"Mar 12, 2020","300.4451","314.1222","315.4938","296.2373","-","-4.10%"
"Mar 13, 2020","298.4005","300.6785","311.7015","295.8407","-","-0.68%"
"Mar 16, 2020","278.9970","298.6075","298.6075","277.4851","-","-6.50%"
"Mar 17, 2020","273.8651","279.1291","285.6054","273.4956","-","-1.84%"
"Mar 18, 2020","251.0174","273.9753","276.1139","249.4273","-","-8.34%"
"Mar 19, 2020","269.5327","251.0174","274.6441","251.0174","-","7.38%"
"Mar 20, 2020","261.5861","269.5327","282.4619","260.6827","-","-2.95%"
"Mar 23, 2020","263.6275","261.5860","264.7283","254.4212","-","0.78%"
"Mar 24, 2020","270.5803","263.6275","273.2504","263.6275","-","2.64%"
"Mar 25, 2020","273.3808","270.5803","275.8989","266.6067","-","1.04%"
"Mar 26, 2020","266.1685","273.3808","273.6680","265.1944","-","-2.64%"
"Mar 27, 2020","261.5391","266.1685","268.5380","259.6814","-","-1.74%"
"Mar 30, 2020","254.6412","261.5391","261.5391","251.5883","-","-2.64%"
"Mar 31, 2020","255.5416","254.6411","260.5808","254.1679","-","0.35%"
"Apr 01, 2020","247.1217","255.5416","255.6019","246.8508","-","-3.29%"
"Apr 02, 2020","263.9483","247.1217","279.5535","247.1217","-","6.81%"
"Apr 03, 2020","275.4447","263.9483","280.3500","259.2010","-","4.36%"
"Apr 06, 2020","271.7038","275.4447","277.2722","267.4297","-","-1.36%"
"Apr 07, 2020","270.5633","274.1363","280.0568","270.3773","-","-0.42%"
"Apr 08, 2020","277.0848","273.7016","280.6149","273.3572","-","2.41%"
"Apr 09, 2020","276.4104","280.1535","292.7880","276.1479","-","-0.24%"
"Apr 13, 2020","280.1222","279.9853","286.5873","277.0875","-","1.34%"
"Apr 14, 2020","278.5442","284.2406","288.0999","277.9961","-","-0.56%"
"Apr 15, 2020","270.9509","278.5442","280.9671","269.1788","-","-2.73%"
"Apr 16, 2020","270.6584","270.9509","275.7063","268.3733","-","-0.11%"
"Apr 17, 2020","270.5740","270.6584","275.4893","269.7287","-","-0.03%"
"Apr 20, 2020","258.6932","270.5740","270.5740","258.2013","-","-4.39%"
"Apr 21, 2020","228.2439","258.6932","264.4393","217.9503","-","-11.77%"
"Apr 22, 2020","236.8019","228.2439","244.1595","220.0967","-","3.75%"
"Apr 23, 2020","243.3508","236.8019","251.4921","235.3919","-","2.77%"
"Apr 24, 2020","241.4460","243.3508","247.8524","239.0978","-","-0.78%"
"Apr 27, 2020","230.4549","241.4460","241.7472","227.9476","-","-4.55%"
"Apr 28, 2020","239.9707","230.4549","235.0914","222.9875","-","4.13%"
"Apr 29, 2020","246.0293","239.9707","250.5948","239.9707","-","2.52%"
"Apr 30, 2020","257.0446","246.0293","258.2950","246.0293","-","4.48%"
"May 01, 2020","256.4889","257.0446","261.5136","252.0930","-","-0.22%"
"May 04, 2020","259.0900","256.4889","260.5765","251.7750","-","1.01%"
"May 05, 2020","274.1748","259.0900","274.5693","259.0900","-","5.82%"
"May 06, 2020","268.7582","274.1748","278.7679","264.4604","-","-1.98%"
"May 07, 2020","271.3416","270.1241","280.2186","268.8276","-","0.96%"
"May 08, 2020","278.1284","272.9967","278.5000","272.8757","-","2.50%"
"May 11, 2020","274.1045","279.7890","281.8290","273.3877","-","-1.45%"
"May 12, 2020","276.8430","275.7524","279.0513","274.9441","-","1.00%"
"May 13, 2020","272.8958","278.3663","278.7947","271.5523","-","-1.43%"
"May 14, 2020","279.9422","272.8958","280.9676","271.7965","-","2.58%"
"May 15, 2020","285.1523","279.9421","285.8852","279.4571","-","1.86%"
"May 18, 2020","296.3646","285.1523","300.6998","285.1523","-","3.93%"
"May 19, 2020","296.4869","296.3646","300.2485","294.5545","-","0.04%"
"May 20, 2020","301.5236","296.4869","303.6238","295.3471","-","1.70%"
"May 21, 2020","301.5198","301.5235","305.6231","299.5758","-","-0.00%"
